Charge,Time,Normed,Zenith,cos(zenith),epochs,val_loss,loss
None,None,TRUE,plane,TRUE,200,0.020174133,0.020371875
mean,None,TRUE,plane,TRUE,200,0.02268178,0.023807926
sum,None,TRUE,plane,TRUE,200,0.020106338,0.022791825
product,None,TRUE,plane,TRUE,200,0.019392818,0.021449003
min,None,TRUE,plane,TRUE,200,0.025394661,0.025212407
max,None,TRUE,plane,TRUE,200,0.022822138,0.023872593
None,mean,TRUE,plane,TRUE,200,0.019279186,0.019931719
None,sum,TRUE,plane,TRUE,200,nan,nan
None,product,TRUE,plane,TRUE,200,0.019634089,0.021122847
None,min,TRUE,plane,TRUE,200,0.019598005,0.01983377
None,max,TRUE,plane,TRUE,200,0.018868348,0.020418989
None,FALSE,TRUE,plane,TRUE,200,0.020343715,0.0216408
None,None,FALSE,plane,TRUE,200,0.02034468,0.020580623
None,None,TRUE,None,TRUE,200,0.029096076,0.030042492
None,None,TRUE,laputop,TRUE,200,0.017498132,0.019095896
None,None,TRUE,small,TRUE,200,0.020157751,0.021067489
None,None,TRUE,plane,FALSE,200,0.020610619,0.020576455
