epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,260428680658944.0,10596578.0,260428680658944.0,148989647257600.0,7800989.5,148989647257600.0
1,141765042503680.0,7144847.5,141765042503680.0,126702491533312.0,6942343.5,126702491533312.0
2,131868523495424.0,6814852.0,131868523495424.0,120518669762560.0,6745223.5,120518669762560.0
3,126422127476736.0,6632793.5,126422127476736.0,118847004737536.0,6766363.0,118847004737536.0
4,122627901358080.0,6510194.0,122627901358080.0,113829073649664.0,6438877.5,113829073649664.0
5,119668543062016.0,6415642.5,119668543062016.0,117783287300096.0,6441669.0,117783287300096.0
6,117472489373696.0,6340009.5,117472489373696.0,111105871446016.0,6177529.5,111105871446016.0
7,115681899053056.0,6277046.5,115681899053056.0,110921791832064.0,6322306.5,110921791832064.0
8,114085060411392.0,6226302.0,114085060411392.0,109252970545152.0,6223401.5,109252970545152.0
9,112743101235200.0,6181432.5,112743101235200.0,109508001005568.0,6239015.5,109508001005568.0
10,111558797557760.0,6141561.0,111558797557760.0,108050237095936.0,6195959.0,108050237095936.0
11,110312376238080.0,6100856.5,110312376238080.0,107636636778496.0,6195807.0,107636636778496.0
12,109230933671936.0,6067787.5,109230933671936.0,113170416926720.0,6398412.5,113170416926720.0
13,108317405872128.0,6037977.0,108317405872128.0,106580192264192.0,5965200.5,106580192264192.0
14,107244117032960.0,6004996.5,107244117032960.0,106295080255488.0,6067098.5,106295080255488.0
15,106307386343424.0,5976096.5,106307386343424.0,105931501207552.0,6023862.0,105931501207552.0
16,105335121510400.0,5944786.0,105335121510400.0,105533923131392.0,5986185.5,105533923131392.0
17,104445694181376.0,5918984.0,104445694181376.0,107583159402496.0,5988105.0,107583159402496.0
18,103485953540096.0,5889255.5,103485953540096.0,107509868134400.0,6184598.0,107509868134400.0
19,102590100537344.0,5862290.5,102590100537344.0,108107682283520.0,6141357.5,108107682283520.0
20,101598625792000.0,5832874.0,101598625792000.0,109716004929536.0,6217087.5,109716004929536.0
21,100543640895488.0,5803271.0,100543640895488.0,106289065623552.0,6099019.0,106289065623552.0
22,99671829643264.0,5779391.5,99671829643264.0,105687954751488.0,5897117.5,105687954751488.0
23,98671672688640.0,5750668.0,98671672688640.0,107892178944000.0,5976717.5,107892178944000.0
24,97823836078080.0,5727334.5,97823836078080.0,107578512113664.0,5996844.5,107578512113664.0
25,96884781744128.0,5701823.5,96884781744128.0,106750028021760.0,6045725.5,106750028021760.0
26,95855684091904.0,5672384.5,95855684091904.0,109884389457920.0,6246267.5,109884389457920.0
